<DATE>;<CLOSE>
19941201;16.25
19950101;17.05
19950201;17.22
19950301;18
19950401;19.31
19950501;17.67
19950601;16.47
19950701;15.83
19950801;16.2
19950901;16.48
19951001;16.53
19951101;17.22
19951201;18.78
19960101;16.64
19960201;18.74
19960301;20.41
19960401;19.22
19960501;17.9
19960601;18.71
19960701;19.06
19960801;20.4
19960901;22.67
19961001;21.82
19961101;23.12
19961201;23.56
19970101;22.82
19970201;19.4
19970301;18.58
19970401;18.21
19970501;19.2
19970601;18.26
19970701;19.12
19970801;18.25
19970901;19.86
19971001;19.52
19971101;18.97
19971201;15.94
19980101;15.57
19980201;13.42
19980301;13.77
19980401;13.99
19980501;14.12
19980601;11.88
19980701;12.55
19980801;11.95
19980901;14.78
19981001;12.31
19981101;10.06
19981201;10.57
19990101;11.47
19990201;10.48
19990301;15.09
19990401;16.71
19990501;14.75
19990601;17.07
19990701;19.2
19990801;21.03
19990901;22.81
19991001;21.15
19991101;24.39
19991201;24.89
20000101;26.92
20000201;29.04
20000301;24.12
20000401;23.43
20000501;29.03
20000601;31.32
20000701;25.43
20000801;34.88
20000901;28.62
20001001;30.65
20001101;31.73
20001201;22.54
20010101;26.68
20010201;24.73
20010301;23.63
20010401;27.28
20010501;29.21
20010601;26.45
20010701;24.25
20010801;26.71
20010901;21.96
20011001;19.79
20011101;19.29
20011201;19.3
20020101;19.41
20020201;21.07
20020301;25.6
20020401;27.01
20020501;23.89
20020601;25.44
20020701;25.85
20020801;27.38
20020901;28.87
20021001;25.68
20021101;25.2
20021201;29.99
20030101;31.45
20030201;33.91
20030301;27.98
20030401;23.59
20030501;26.8
20030601;28.16
20030701;28.59
20030801;30.05
20030901;28.34
20031001;27.94
20031101;28.76
20031201;30.48
20040101;29.51
20040201;33.01
20040301;32.36
20040401;35.12
20040501;36.98
20040601;33.51
20040701;41.6
20040801;39.33
20040901;47.08
20041001;48.78
20041101;44.03
20041201;40.24
20050101;45.87
20050201;50.14
20050301;53.05
20050401;49.33
20050501;49.83
20050601;54.85
20050701;59.7
20050801;66.68
20050901;62.56
20051001;58.35
20051101;53.41
20051201;58.87
20060101;65.43
20060201;60.05
20060301;64.94
20060401;72
20060501;69
20060601;73.28
20060701;75.16
20060801;69.64
20060901;61.37
20061001;56.97
20061101;64.42
20061201;60.13
20070101;57.21
20070201;60.66
20070301;68.42
20070401;67.28
20070501;68.82
20070601;73.26
20070701;78.05
20070801;73.53
20070901;81.75
20071001;91.14
20071101;88
20071201;93.85
20080101;91.98
20080201;100.04
20080301;100.51
20080401;112.71
20080501;128.27
20080601;140.3
20080701;123.96
20080801;115.17
20080901;98.96
20081001;65.6
20081101;53.49
20081201;45.59
20090101;45.93
20090201;45.84
20090301;48.68
20090401;50.64
20090501;65.8
20090601;69.42
20090701;71.52
20090801;69.32
20090901;68.92
20091001;75.09
20091101;78.36
20091201;77.93
20100101;71.18
20100201;78.03
20100301;82.17
20100401;87.35
20100501;74.6
20100601;74.66
20100701;78.26
20100801;74.42
20100901;82.11
20101001;83.26
20101101;85.45
20101201;94.59
20110101;100.56
20110201;112.1
20110301;117.17
20110401;126.03
20110501;116.68
20110601;111.8
20110701;117.54
20110801;114.49
20110901;102.15
20111001;109.19
20111101;110.37
20111201;107.22
20120101;111.16
20120201;123.04
20120301;122.8
20120401;119.47
20120501;101.62
20120601;97.57
20120701;104.62
20120801;114.92
20120901;112.14
20121001;108.4
20121101;111.17
20121201;111.11
20130101;114.56
20130201;111
20130301;109.89
20130401;101.74
20130501;100.15
20130601;101.5
20130701;107.7
20130801;114.45
20130901;108.2
20131001;108.9
20131101;110.11
20131201;110.9
20140101;105.79
20140201;108.65
20140301;107.7
20140401;108.14
20140501;109.49
20140601;112.4
20140701;105.52
20140801;103.11
20140901;94.8
20141001;85.96
20141101;68.34
20141201;57.54
20150101;52.95
20150201;62.48
20150301;55.1
20150401;66.8
20150501;65.19
20150601;63.14
20150701;51.85
20150801;53.12
20150901;48.44
20151001;49.5
20151101;44.5
20151201;37.6
20160101;35.91
20160201;36.64
20160301;40.14
20160401;47.32
20160501;49.52
20160601;49.74
20160701;43.27
20160801;46.97
20160901;49.99
20161001;48.51
20161101;51.52
20161201;56.75
20170101;55.49
20170201;56.45
20170301;53.62
20170401;55.26
