0;DPL#(RSWAGES.A,6)
15.12.1994;354.236
15.01.1995;302.6
15.02.1995;321
15.03.1995;361.5
15.04.1995;386.2
15.05.1995;429.9
15.06.1995;480.6
15.07.1995;499.5
15.08.1995;520.6
15.09.1995;564.5
15.10.1995;594.5
15.11.1995;615.7
15.12.1995;735.5
15.01.1996;654.8
15.02.1996;684.4
15.03.1996;745
15.04.1996;746.5
15.05.1996;779.3
15.06.1996;837.2
15.07.1996;842.8
15.08.1996;831
15.09.1996;848.1
15.10.1996;843.3
15.11.1996;835
15.12.1996;1017.1
15.01.1997;812.2
15.02.1997;821.2
15.03.1997;902.9
15.04.1997;901.1
15.05.1997;919.7
15.06.1997;993.2
15.07.1997;999.1
15.08.1997;982.3
15.09.1997;1026.2
15.10.1997;1006.1
15.11.1997;997.8
15.12.1997;1214.8
15.01.1998;988
15.02.1998;1000
15.03.1998;1059
15.04.1998;1040
15.05.1998;1047
15.06.1998;1122
15.07.1998;1110
15.08.1998;1052
15.09.1998;1112
15.10.1998;1123
15.11.1998;1164
15.12.1998;1482
15.01.1999;1167
15.02.1999;1199
15.03.1999;1385
15.04.1999;1423
15.05.1999;1472
15.06.1999;1626
15.07.1999;1618
15.08.1999;1608
15.09.1999;1684
15.10.1999;1716
15.11.1999;1789
15.12.1999;2283
15.01.2000;1830
15.02.2000;1839
15.03.2000;2018
15.04.2000;2039
15.05.2000;2101
15.06.2000;2294
15.07.2000;2302
15.08.2000;2289
15.09.2000;2367
15.10.2000;2425
15.11.2000;2508
15.12.2000;3025
15.01.2001;2733
15.02.2001;2655
15.03.2001;2964
15.04.2001;2923
15.05.2001;3054
15.06.2001;3284
15.07.2001;3364
15.08.2001;3376
15.09.2001;3405
15.10.2001;3515
15.11.2001;3578
15.12.2001;4541
15.01.2002;3760
15.02.2002;3725
15.03.2002;4031
15.04.2002;4110
15.05.2002;4187
15.06.2002;4460
15.07.2002;4597
15.08.2002;4511
15.09.2002;4521
15.10.2002;4646
15.11.2002;4694
15.12.2002;5738
15.01.2003;4696
15.02.2003;4701
15.03.2003;4986
15.04.2003;5100
15.05.2003;5221
15.06.2003;5550
15.07.2003;5615
15.08.2003;5491
15.09.2003;5556
15.10.2003;5864
15.11.2003;5990
15.12.2003;7344
15.01.2004;5932
15.02.2004;6141
15.03.2004;6428
15.04.2004;6448
15.05.2004;6524
15.06.2004;7003
15.07.2004;6982
15.08.2004;6873
15.09.2004;6918
15.10.2004;6908
15.11.2004;7046
15.12.2004;8799
15.01.2005;7346
15.02.2005;7465
15.03.2005;8093
15.04.2005;8002
15.05.2005;8089
15.06.2005;8637
15.07.2005;8651
15.08.2005;8616
15.09.2005;8829
15.10.2005;8701
15.11.2005;8931
15.12.2005;11319
15.01.2006;9016
15.02.2006;9255
15.03.2006;9914
15.04.2006;9833
15.05.2006;10257
15.06.2006;11106
15.07.2006;10883
15.08.2006;10853
15.09.2006;11127
15.10.2006;11046
15.11.2006;11303
15.12.2006;14263
15.01.2007;11430
15.02.2007;11757
15.03.2007;12448
15.04.2007;12494
15.05.2007;12787
15.06.2007;13712
15.07.2007;13546
15.08.2007;13270
15.09.2007;13677
15.10.2007;13986
15.11.2007;14656
15.12.2007;18591
15.01.2008;14771
15.02.2008;15354
15.03.2008;16172
15.04.2008;16538
15.05.2008;16643
15.06.2008;17715
15.07.2008;17758
15.08.2008;17244
15.09.2008;17739
15.10.2008;17643
15.11.2008;17598
15.12.2008;21681
15.01.2009;17119
15.02.2009;17098
15.03.2009;18129
15.04.2009;18009
15.05.2009;18007
15.06.2009;19247
15.07.2009;18872
15.08.2009;18335
15.09.2009;18838
15.10.2009;18798
15.11.2009;19215
15.12.2009;24004
15.01.2010;18938
15.02.2010;19017
15.03.2010;20589
15.04.2010;20358
15.05.2010;20279
15.06.2010;21795
15.07.2010;21325
15.08.2010;20753
15.09.2010;20999
15.10.2010;20970
15.11.2010;21486
15.12.2010;28027
15.01.2011;20669
15.02.2011;20680
15.03.2011;22673
15.04.2011;22519
15.05.2011;22779
15.06.2011;24137
15.07.2011;23598
15.08.2011;23051
15.09.2011;23468
15.10.2011;23602
15.11.2011;24296
15.12.2011;32809
15.01.2012;23746
15.02.2012;24036
15.03.2012;25487
15.04.2012;25800
15.05.2012;26385
15.06.2012;27494
15.07.2012;26684
15.08.2012;25718
15.09.2012;25996
15.10.2012;26803
15.11.2012;27448
15.12.2012;36450
15.01.2013;26840
15.02.2013;26619.6
15.03.2013;28692.9
15.04.2013;30025.9
15.05.2013;29723
15.06.2013;30986.1
15.07.2013;30228.7
15.08.2013;29226.3
15.09.2013;29345.5
15.10.2013;30069
15.11.2013;30289.6
15.12.2013;39648.4
15.01.2014;29535
15.02.2014;29255.3
15.03.2014;31486
15.04.2014;32947
15.05.2014;32272
15.06.2014;33726
15.07.2014;32515
15.08.2014;30763
15.09.2014;31929
15.10.2014;32439
15.11.2014;32546
15.12.2014;42136
15.01.2015;30929
15.02.2015;31325
15.03.2015;32642
15.04.2015;34377
15.05.2015;34380
15.06.2015;35395
15.07.2015;33901
15.08.2015;32176
15.09.2015;32911
15.10.2015;33357
15.11.2015;33347
15.12.2015;43408
15.01.2016;32660
15.02.2016;33873
15.03.2016;35501
15.04.2016;36497
15.05.2016;37270
15.06.2016;38447
15.07.2016;35888
15.08.2016;35405
15.09.2016;35843
15.10.2016;35749
15.11.2016;36195
15.12.2016;47554
15.01.2017;35369
15.02.2017;35900
15.03.2017;NA
